incident_id,tcg_stolen_gun,tcg_not_stolen_gun,tcg_ratio,IsRatioCalculated
14093,1,0,,0
14105,1,1,1,1
14108,2,0,,0
14111,3,0,,0
14113,1,0,,0
14125,2,0,,0
14133,4,0,,0
14294,1,0,,0
14296,2,0,,0
14297,2,0,,0
14305,1,0,,0
14390,2,2,1,1
14394,2,0,,0
14404,1,0,,0
14524,1,0,,0
14526,2,0,,0
14536,1,0,,0
14547,5,1,5,1
14553,2,0,,0
14640,2,0,,0
14643,3,0,,0
14695,3,1,3,1
14696,6,0,,0
14701,8,2,4,1
14902,6,0,,0
14910,2,0,,0
14914,4,0,,0
14917,1,0,,0
14923,6,0,,0
14926,3,0,,0
14932,7,0,,0
14933,3,1,3,1
14938,1,0,,0
15058,2,0,,0
15062,4,0,,0
15064,10,2,5,1
15066,6,0,,0
15072,1,0,,0
15074,1,0,,0
15075,8,0,,0
15076,2,0,,0
15077,2,2,1,1
15079,1,0,,0
15156,4,1,4,1
15159,1,0,,0
15181,2,2,1,1
15183,8,0,,0
15207,2,0,,0
15339,4,0,,0
15340,1,0,,0
15346,2,0,,0
15360,2,4,0.5,1
15385,2,0,,0
15426,2,0,,0
15428,1,0,,0
15599,3,0,,0
15604,4,0,,0
15617,1,0,,0
15618,1,0,,0
15690,8,0,,0
15698,4,0,,0
15699,2,0,,0
15701,2,3,0.69999999999999996,1
15706,6,0,,0
15721,1,0,,0
15722,6,0,,0
15883,1,0,,0
15886,1,1,1,1
15887,4,1,4,1
15890,2,0,,0
15892,1,0,,0
15895,2,0,,0
15898,3,0,,0
15918,1,0,,0
15920,1,0,,0
15921,2,0,,0
15923,2,0,,0
15930,2,0,,0
16041,2,0,,0
16046,1,1,1,1
16062,2,0,,0
16064,1,0,,0
16089,4,8,0.5,1
16092,1,0,,0
16169,2,0,,0
16176,2,0,,0
16179,2,4,0.5,1
16219,6,0,,0
16249,4,0,,0
16254,2,2,1,1
16256,4,2,2,1
16324,3,0,,0
16327,2,0,,0
16414,1,0,,0
16420,2,0,,0
16438,3,0,,0
16619,1,0,,0
16620,8,0,,0
16622,2,0,,0
16624,14,2,7,1
16749,2,0,,0
16753,2,0,,0
16757,1,0,,0
16823,3,0,,0
16826,2,1,2,1
16830,2,0,,0
16831,4,0,,0
16971,2,0,,0
16973,4,0,,0
16995,2,0,,0
17085,1,0,,0
17127,2,2,1,1
17129,2,0,,0
17130,2,0,,0
17131,4,2,2,1
17142,1,0,,0
17247,2,2,1,1
17437,2,2,1,1
17456,1,1,1,1
17465,2,0,,0
17476,6,0,,0
17640,2,0,,0
17649,2,0,,0
17651,1,1,1,1
17654,2,0,,0
17699,2,0,,0
17703,4,0,,0
17718,12,2,6,1
17858,1,0,,0
17860,1,1,1,1
17862,2,0,,0
17863,1,0,,0
17880,1,0,,0
18010,2,0,,0
18012,6,2,3,1
18219,2,0,,0
18227,4,0,,0
18230,2,0,,0
18232,2,0,,0
18236,2,2,1,1
18237,4,0,,0
18238,1,0,,0
18243,1,0,,0
18257,2,0,,0
